Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.514999,16.517500,16.280001,16.337500,13.949663,11972400
2010-01-05,16.285000,16.447500,16.174999,16.402500,14.005170,6275200
2010-01-06,16.350000,16.422501,16.235001,16.302500,13.919778,13399200
2010-01-07,16.280001,16.500000,16.262501,16.462500,14.056395,7187600
2010-01-08,16.447500,16.462500,16.235001,16.430000,14.028649,7249600
2010-01-11,16.480000,16.482500,16.162500,16.227501,13.855741,10678000
2010-01-12,16.150000,16.275000,16.070000,16.205000,13.836534,11485600
2010-01-13,16.277500,16.417500,16.195000,16.350000,13.960339,5648800
2010-01-14,16.372499,16.457500,16.187500,16.247499,13.872819,7311600
2010-01-15,16.195000,16.252501,15.987500,16.097500,13.744741,11293200
2010-01-19,16.049999,16.200001,15.990000,16.177500,13.813051,7453200
2010-01-20,16.052500,16.102501,15.892500,16.045000,13.699915,8008400
2010-01-21,16.077499,16.084999,15.757500,15.910000,13.584643,13983200
2010-01-22,15.877500,16.059999,15.737500,15.745000,13.443759,13320000
2010-01-25,15.842500,16.010000,15.827500,15.917500,13.591046,10749600
2010-01-26,15.832500,16.027500,15.762500,15.935000,13.605994,6711200
2010-01-27,15.917500,16.042500,15.812500,16.000000,13.661495,13560400
2010-01-28,16.062500,16.250000,15.842500,15.880000,13.559031,7158000
2010-01-29,15.910000,16.162500,15.887500,15.937500,13.608129,10402400
2010-02-01,15.992500,16.112499,15.877500,16.025000,13.682835,6407600
2010-02-02,16.072500,16.072500,15.902500,15.982500,13.646549,9539200
2010-02-03,15.922500,16.025000,15.830000,16.000000,13.661495,7889200
2010-02-04,15.882500,15.937500,15.512500,15.522500,13.253784,17924800
2010-02-05,15.505000,15.557500,15.222500,15.425000,13.170531,13110800
2010-02-08,15.405000,15.530000,15.307500,15.325000,13.085153,8177200
2010-02-09,15.445000,15.775000,15.417500,15.627500,13.343435,9438000
2010-02-10,15.627500,15.737500,15.562500,15.660000,13.371183,7698400
2010-02-11,15.607500,15.792500,15.530000,15.737500,13.437357,7010000
2010-02-12,15.630000,15.637500,15.430000,15.622500,13.339170,11152000
2010-02-16,15.705000,15.912500,15.582500,15.912500,13.586784,9628000
2010-02-17,15.967500,16.172501,15.905000,16.120001,13.763959,10640400
2010-02-18,16.122499,16.147499,15.977500,16.110001,13.755417,6468000
2010-02-19,16.035000,16.150000,16.002501,16.087500,13.736207,9498000
2010-02-22,16.142500,16.192499,16.007500,16.077499,13.727665,6864800
2010-02-23,16.075001,16.137501,15.902500,16.032499,13.689245,7738800
2010-02-24,16.000000,16.254999,16.000000,16.232500,13.860011,11618000
2010-02-25,16.252501,16.570000,16.002501,16.540001,14.122568,15967600
2010-02-26,16.557501,16.962500,16.557501,16.900000,14.429955,19633200
2010-03-01,16.977501,17.177500,16.902500,17.059999,14.566564,10674000
2010-03-02,17.014999,17.082500,16.920000,17.007500,14.521745,9844800
2010-03-03,16.924999,16.992500,16.815001,16.910000,14.438489,8670400
2010-03-04,17.004999,17.014999,16.860001,16.907499,14.494211,6306400
2010-03-05,16.957500,17.127501,16.957500,17.080000,14.642090,7460000
2010-03-08,16.992500,17.240000,16.992500,17.205000,14.749251,7084000
2010-03-09,17.190001,17.295000,17.132500,17.232500,14.772822,6042400
2010-03-10,17.227501,17.312500,17.102501,17.280001,14.813549,5592800
2010-03-11,17.275000,17.462500,17.177500,17.437500,14.948561,6960000
2010-03-12,17.355000,17.497499,17.352501,17.475000,14.980716,7208400
2010-03-15,17.437500,17.682501,17.430000,17.597500,15.085728,9514000
2010-03-16,17.582500,17.762501,17.525000,17.594999,15.083579,10107200
2010-03-17,17.597500,17.832500,17.570000,17.719999,15.190746,14751600
2010-03-18,18.337500,18.837500,18.325001,18.665001,16.000856,43696000
2010-03-19,18.565001,18.580000,18.280001,18.379999,15.756537,18789600
2010-03-22,18.222500,18.540001,18.205000,18.469999,15.833690,11696000
2010-03-23,18.600000,18.647499,18.492500,18.622499,15.964423,8986000
2010-03-24,18.587500,18.597500,18.252501,18.344999,15.726529,11069200
2010-03-25,18.542500,18.695000,18.382500,18.392500,15.767250,11321600
2010-03-26,18.450001,18.687500,18.342501,18.472500,15.835825,8661600
2010-03-29,18.540001,18.582500,18.395000,18.492500,15.852983,6522400
2010-03-30,18.502501,18.600000,18.387501,18.452499,15.818686,6461200
2010-03-31,18.372499,18.525000,18.320000,18.375000,15.752253,7916000
2010-04-01,18.490000,18.597500,18.437500,18.502501,15.861549,8376400
2010-04-05,18.547501,18.705000,18.405001,18.527500,15.882986,7081600
2010-04-06,18.385000,18.537500,18.375000,18.477501,15.840117,8428000
2010-04-07,18.492500,18.547501,18.325001,18.397499,15.771535,8851200
2010-04-08,18.365000,18.570000,18.264999,18.497499,15.857259,10410400
2010-04-09,18.545000,18.820000,18.412500,18.795000,16.112303,12502000
2010-04-12,18.822500,18.987499,18.799999,18.882500,16.187305,8867200
2010-04-13,18.857500,18.982500,18.687500,18.877501,16.183023,7025200
2010-04-14,18.902500,18.965000,18.750000,18.950001,16.245174,6804400
2010-04-15,18.892500,18.955000,18.742500,18.910000,16.210884,7014400
2010-04-16,18.897499,19.000000,18.745001,18.792500,16.110151,13739200
